condition,cell,0,1,2
0,0,0.5416059697265858,0.34398802640806786,0.11440600386534641
0,1,0.33793526306671273,0.5679244023932478,0.09414033454003942
0,2,0.07251337849534087,0.07084266759002902,0.8566439539146301
0,3,0.04527030174773583,0.6586474485892341,0.29608224966303026
0,4,0.1853640125604374,0.00501143136669259,0.80962455607287
0,5,0.110151581609579,0.0015484627026777172,0.8882999556877433
0,6,0.27992241406105905,0.20742123925144826,0.5126563466874926
0,7,0.5288644117681832,0.2609802276113685,0.2101553606204482
0,8,0.07294902933008642,0.7596783681852198,0.1673726024846937
0,9,0.6076742606909742,0.14009830445402777,0.252227434854998
0,10,0.05783347897557202,0.0023986827214906967,0.9397678383029373
0,11,0.6918297160372534,0.0012552836563170576,0.30691500030642943
0,12,0.49603859451438415,0.46808996612171955,0.03587143936389618
0,13,0.003540434155602645,0.41928815164045385,0.5771714142039436
0,14,0.10742291760537415,0.09756498442821628,0.7950120979664095
0,15,0.0022472283532432133,0.297114208887871,0.7006385627588858
0,16,0.18448433106708714,0.05257483699888287,0.7629408319340301
0,17,0.47166353891141666,0.32105445758510903,0.2072820035034743
0,18,0.4666259086862893,0.2843629729456525,0.24901111836805834
0,19,0.11459059650510464,0.6620204962841012,0.22338890721079416
0,20,0.21432638534927836,0.6266646824427394,0.1590089322079824
0,21,0.5143618588446596,0.16267219986754836,0.32296594128779216
0,22,0.15986638353131086,0.026511424082478467,0.8136221923862107
0,23,0.918245029563769,0.0029928107734424176,0.07876215966278864
0,24,0.4257300887159575,0.5103796598404078,0.06389025144363464
0,25,0.2617877667753929,0.13308935719006765,0.6051228760345394
0,26,0.0618808808703616,0.7535392558998689,0.1845798632297696
0,27,0.1098760823257875,0.14854509243308883,0.7415788252411237
0,28,0.16869783078560502,0.04928677359159802,0.782015395622797
0,29,0.6062492077853113,0.33594828655702486,0.057802505657663726
0,30,0.15202049081064625,0.825457558583161,0.022521950606192647
0,31,0.06717022088502277,0.2667307160725915,0.6660990630423856
0,32,0.5148703731097309,0.43495547405295754,0.05017415283731154
0,33,0.1304553195702853,0.15950733555643848,0.7100373448732763
0,34,0.8172451939392321,0.04392925309633263,0.13882555296443536
0,35,0.20506571030109186,0.29577920831362486,0.4991550813852832
0,36,0.7404205434405878,0.2194863808175017,0.04009307574191042
0,37,0.9657507347943716,0.008633767703248784,0.02561549750237966
0,38,0.12813362255354543,0.1469120138184634,0.7249543636279911
0,39,0.0136818513462919,0.7064466447426562,0.27987150391105203
0,40,0.3922932605227652,0.5088407126104999,0.09886602686673492
0,41,0.0057912596875389815,0.340964324297418,0.6532444160150429
0,42,0.6754235508814138,0.037723193120594814,0.28685325599799133
0,43,0.2627970319817378,0.7174296187823769,0.01977334923588525
0,44,0.7977842943804776,0.09668286344466605,0.1055328421748564
